frame #,zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std
0,0.03728060229488866,0.043383168304365366,3.3166165062004325,0.12993360067201928,0.16058430306210383,0.16048324055640995,0.0,0.03346938775510204,-20.360736344065824,1.6723792811254743,0.16577536798072565,0.3350724995040757,0.2244548042498204,0.25567167805375224,-0.07652591700637291,0.07740016979739413,-0.2592005033542954,0.062596287093649,0.245483207273401,0.11214287359634087,0.1692258998529575,0.00033852370993116363,0.0016906780252396965,0.09043714500954406,0.0018430380236679662,0.0006411327344550526,0.0011339925152856107,0.0013092017362612192,0.0011152837320094196,0.0005180713737886493,0.0019345583700424327,0.0008386132626956806,0.0004977212338041021,0.02470288618983799
1,0.04226949067984943,0.04330186465993801,3.2795462030819493,0.1421633124327365,0.17014225145792078,0.2782514698141341,0.0006853226983127387,0.04226757369614512,-20.322235804249,1.4060085512837905,0.7682855850148473,0.5782017244112941,0.37321691425815445,0.20366019581125439,0.16888918489438143,0.01967265054362053,-0.4815047972980382,-0.1412455250481244,0.1536216269411738,-0.03817029637047009,-0.015969110352222562,0.0007099179035147542,0.010554416133013979,0.023759621422405796,0.0029429834864328295,0.004367706893827645,0.0013355517895512821,0.0032843871704288587,0.0010421668726198997,0.0008137538393369316,0.006016744993380643,0.0037095399868419493,0.0011766031333476617,0.00627615881865352
2,0.03410585514082271,0.048129536777718585,3.307662435801466,0.13000897762411331,0.15391305205631572,0.2988902956504289,0.00045069979029563833,0.04235827664399093,-20.273850676529907,1.3464209163794318,0.9073038740444056,0.5066069293253612,0.31390996949251626,0.042963411370075394,0.20028388871421213,-0.006505148327353397,-0.4887891946851574,-0.22124257148357698,0.1820912301188653,-0.12147402967957636,-0.10626040290897867,0.0007347046101654577,0.002065060544857981,0.02110251279616665,0.0025188508665346613,0.0008423322627867744,0.0012047080913807158,0.0036958891719330155,0.00048725083046302446,0.0015463995483237212,0.012121350124608143,0.0028028879103962415,0.0005455568767171379,0.005947151471730979
3,0.03673635992562021,0.046972308094678075,3.3163003125078854,0.1221078881283353,0.1481451073825487,0.30987751538601,0.00031339633995349663,0.055782312925170066,-19.881423433976664,1.5821826808846056,0.5747817318917714,0.2541985330854499,0.3783569196057948,-0.11471436278314824,-0.03630479402278533,0.005256098242897949,-0.20570894254415,0.03701672714606569,0.11814727196572623,-0.19774659424985236,-0.16349153559435664,0.0006477866589115281,0.0005611700553546015,0.04205596554079969,0.0020841451469789415,0.0008265750403161459,0.0020275543285622195,0.006615016137773066,0.003166717803415546,0.0006708752370523948,0.0017960340723385578,0.0006642604703371555,0.0003662749056188214,0.011260578428353627
4,0.051703025080502514,0.04817502840830511,3.307182075937706,0.14922955444049518,0.158296365689328,0.47715741994513733,0.0005439800685144166,0.08399092970521542,-19.53874663014717,1.3769731441863942,0.5419174934006854,0.1443632538699112,0.20884804596030207,-0.10995337364160832,-0.02382234639538293,-0.019350845182845668,0.01423499617545726,0.20208239526717675,0.14306410535730357,-0.20293838999780653,-0.1501675922433201,0.0006976229177358859,0.0015179794685625133,0.004661318147101278,0.0013198543418222696,0.00047535588174870373,0.0007430280850649622,0.0027414724657913213,0.002291258742514077,0.0009238735117866041,0.0049681246491562235,0.0012137437725432733,0.0011498277551633212,0.0014486083131866237
5,0.05696403465009751,0.049510797641667055,3.293262980480175,0.12400845007070416,0.14601360942526764,0.5051071873124184,0.0007248792711442391,0.09777777777777778,-18.829245714390545,1.2688847587836802,0.6921557467611229,0.3979131995678506,0.08066512620332907,-0.06850426041715012,-0.2524827438650721,0.09491619603916626,0.08577963193950347,0.2009725475572149,0.043016550945304974,-0.4169362358474364,-0.17316964953901348,0.0013730426219592752,0.000987908989758189,0.02645459250764979,0.047140821386560984,0.020663956800029554,0.0033684022044528574,0.004459115912048704,0.002788789477377363,0.002686427499277453,0.01259995460245814,0.001816902284986757,0.002862358142678302,0.01360169052692453
6,0.062134337158147764,0.07176239395410076,3.312818016738779,0.1353894912727987,0.15721012417615762,0.5375275350731665,0.0007506616389363458,0.09587301587301587,-17.87759940546539,1.1515148857167379,0.050983547469131,0.38556642078266556,0.2508490041481286,0.11579985657841693,-0.33606873723461644,-0.04842402164300771,0.22309370758144484,0.13648153149479958,-0.06642815380347766,0.09771795507163836,-0.3006893822818679,0.001315752027081996,0.006319932862590557,0.006455954447286575,0.017539111418817692,0.01038943397361832,0.016856791112290322,0.0029471894103051135,0.0025283963940348083,0.013309142414509118,0.00504458467427645,0.005789574121615129,0.10637068947294047,0.02766549055184234
7,0.05601161050387773,0.06656711391876545,3.3092263329556997,0.14063133937085218,0.16029509221259497,0.44604790752153406,0.00044180229035571726,0.07927437641723356,-18.562849328819237,1.1704298782580296,0.05843215614451533,0.4785599583280221,0.4184313408902791,0.08639606358203186,-0.2775281963744909,-0.07843854069163052,0.3164822911773588,-0.05000451433183156,-0.2141145812541188,0.15935538810997757,-0.1659784386077603,0.0015769447118693328,0.0018692088390549438,0.006430681025381637,0.005532605385614124,0.04371137258067324,0.004233552064643707,0.002480626463609964,0.000629741053793414,0.0058313879854969995,0.0030167686964151135,0.00031330375859174874,0.0724711266692702,0.021370998436336282
8,0.06676039729692956,0.06167016419236139,3.3103603681504743,0.15006026402501052,0.1614392903904801,0.5521913773514836,0.0003846527073423423,0.09514739229024943,-18.348418564625312,1.320747785775242,0.12129275018948496,0.3043690857107791,0.3863268357185259,0.05506030623638769,-0.1846777626706404,-0.05067319884497996,0.10731299308231491,-0.1476775439457997,-0.08670903200529162,0.21247227429820453,-0.16940142169553996,0.0011742475177042308,0.012591715025694408,0.0021455164510200816,0.004031447457782403,0.08196329594821511,0.015773028081230538,0.0026682945982412134,0.0008173049007780057,0.021615536562803645,0.0019706170293370684,0.011706676578590819,0.06974985233777135,0.026401377781816608
9,0.058369994104041,0.0647925254139242,3.3125915538066586,0.13503673567862862,0.15158342295680763,0.4514873496900361,0.0004119364252395199,0.09478458049886622,-18.41728414384866,1.1310128311751888,0.038626114731720215,0.5963918130362962,0.5165924636036763,0.022811498126790824,-0.31948932017894105,-0.15014794650129637,0.18369658439106307,-0.10582697177601412,-0.09355938674333464,0.27889966027621027,-0.11852153900649814,0.0012356585673352315,0.011120832083134639,0.001247779685780104,0.008352200472322496,0.030917203188241524,0.010160661447744886,0.003460179713363215,0.001710365665762576,0.007058537021073983,0.0023836677972123004,0.0023065176041468525,0.01262640402184737,0.008044266905019483
